term,tfidf_weight_sum
reduce,0.45647923643609456
remittance,0.4455401336796976
initiatives,0.36995735120708245
diaspora,0.36995735120708245
costs,0.3657850352260781
formal,0.3193780670200068
formal channels,0.3193780670200068
channels,0.3193780670200068
reduce remittance,0.230328090580832
strong,0.230328090580832
transaction costs,0.230328090580832
kenya,0.230328090580832
initiatives reduce,0.230328090580832
inclusion,0.230328090580832
engagement,0.230328090580832
diaspora engagement,0.230328090580832
costs improve,0.230328090580832
improve inclusion,0.230328090580832
engagement initiatives,0.230328090580832
remittance transaction,0.230328090580832
improve,0.230328090580832
strong diaspora,0.230328090580832
kenya strong,0.230328090580832
transaction,0.230328090580832
supports remittance,0.22822451042194827
