Country Name,Mean_GDP,Median_GDP,SD_GDP,Min_GDP,Max_GDP,Mean_Remittance,Mean_Life_Exp,Count
Qatar,75602.26943076793,71039.8490579352,17165.739227986356,51683.5054353851,108470.378825036,471281087.3337191,79.1018888888889,19
Kuwait,38733.890881364656,37907.1001320042,8898.435102394005,25236.0755520534,55585.1889344442,53068694.75522126,78.5316111111111,19
Israel,31343.96031111051,30176.2865128483,11402.08880166168,18991.4711694457,54930.7261602593,593296551.7241379,80.75627177700349,29
Saudi Arabia,24478.024347103114,23271.4037647084,5057.289789354733,15975.7473782258,34454.1957708412,252148050.6145958,76.31822222222223,19
Bahrain,24466.724357321516,24784.7693514607,3413.9511588312876,17966.1657837625,30616.2610677495,0.0,78.84811111111111,19
Malta,21458.184152546422,21946.6069676515,9526.703320218317,9828.23235954568,40395.7692064458,118843697.18387131,80.20871080139374,29
Oman,16620.18225431315,17820.0661809335,6271.941190552689,7219.02932432025,26576.779241509,39009685.69055986,75.0125,29
Seychelles,12346.724997459694,12110.0937461973,3761.9376049896355,7004.33603896356,19141.5118743615,10633275.871692194,73.03719512195121,29
Equatorial Guinea,9993.004585856888,8673.9026086535,5165.286747275581,248.314896208855,18210.5552970599,12589.364175151477,58.3289,21
Libya,8555.316077555553,7836.544362930104,2927.5580887167694,3718.29434696755,14975.8902795144,3125000.0,71.79308695652173,24
Mauritius,7374.236018774781,8000.37643182154,2866.946036129663,3641.62142564086,11643.4605962124,127866137.1029011,72.74586236933798,29
Gabon,6711.707679209913,6921.73373135624,2005.7890166369914,3699.99513906504,10219.1139339454,14073116.118153755,63.38503571428571,29
Lebanon,6478.824367555808,7090.85493856621,1862.7288180115006,3654.35845534878,9174.53666204759,6410152203.742518,77.5754761904762,21
South Africa,5603.877368333281,6077.38293388876,1689.6624700607883,2688.23676032806,8646.05571071635,664138325.7211595,60.09242857142857,29
Botswana,5528.640077305796,5529.12574632532,1730.433278697099,2981.19639702109,8329.04032229144,45406093.28629793,58.04260714285714,29
Iraq,4796.083153740573,4759.2846435467,1386.634941038185,1762.39360423421,6650.35282247395,625126315.7894737,68.11394444444444,19
"Iran, Islamic Rep.",4013.975037065431,4334.79268631354,1931.9862898712781,1550.0095955237,8114.08099831877,280172413.79310346,72.43407142857143,29
